index,time,acute angle,Type
0,2800,6,bouncing
1,2800,7,fast
2,2600,5,fast
3,2800,6,fast
4,2900,6,fast
5,2700,6,fast
6,2800,5,fast
7,2700,6,fast
8,2900,6,fast
9,3000,7,slow
10,2800,6,fast
11,3000,9,slow
12,2700,7,fast
13,3000,8,slow
14,2900,7,fast
15,2700,6,fast
16,2800,6,fast
17,2800,6,fast
18,2700,6,fast
19,2600,5,fast
20,2700,5,fast
21,2600,5,fast
22,2700,6,fast
23,2900,7,fast
24,2600,6,fast
25,2800,5,fast
26,2900,6,fast
27,2600,5,fast
28,2600,4,fast
29,2700,7,fast
30,2800,5,fast
31,2800,7,fast
32,2700,6,fast
33,1600,4,fast
