FILE=\sensor1_sn3775_2019_10_17_17_31_11.csv
Thu Oct 17 17:31:05 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.11.850,1,0,0,1822,2046,1535,336,2046,2046,2046,323,1973,2046,2046,216,663,2046,2046,2046,535,2046,2046,468,287,2046,1949,321,
17.31.11.950,2,0,0,1821,2046,1539,336,2046,2046,2046,323,1964,2046,2046,218,662,2046,2046,2046,535,2046,2046,468,288,2046,1948,320,
17.31.12.050,3,0,0,1822,2046,1540,336,2046,2046,2046,323,1961,2046,2046,216,663,2046,2046,2046,535,2046,2046,469,287,2046,1948,320,
17.31.12.150,4,0,0,1822,2046,1539,335,2046,2046,2046,322,1959,2046,2046,216,663,2046,2046,2046,535,2046,2046,469,288,2046,1947,319,
17.31.12.249,5,0,0,1822,2046,1540,335,2046,2046,2046,323,1959,2046,2046,218,664,2046,2046,2046,535,2046,2046,468,286,2046,1948,318,
17.31.12.349,6,0,0,1822,2046,1540,335,2046,2046,2046,323,1963,2046,2046,218,663,2046,2046,2046,535,2046,2046,468,286,2046,1948,319,
17.31.12.450,7,0,0,1822,2046,1538,336,2046,2046,2046,323,1963,2046,2046,218,662,2046,2046,2046,536,2046,2046,467,287,2046,1949,320,
17.31.12.551,8,0,0,1823,2046,1541,336,2046,2046,2046,323,1972,2046,2046,215,663,2046,2046,2046,534,2046,2046,466,286,2046,1946,320,
17.31.12.650,9,0,0,1824,2046,1540,336,2046,2046,2046,325,1975,2046,2046,217,663,2046,2046,2046,534,2046,2046,466,286,2046,1946,320,
17.31.12.750,10,0,0,1824,2046,1540,336,2046,2046,2046,322,1983,2046,2046,215,664,2046,2046,2046,536,2046,2046,465,287,2046,1948,320,
17.31.12.850,11,0,0,1824,2046,1540,336,2046,2046,2046,322,1985,2046,2046,215,663,2046,2046,2046,537,2046,2046,466,289,2046,1950,320,
17.31.12.950,12,0,0,1825,2046,1543,336,2046,2046,2046,322,1988,2046,2046,216,665,2046,2046,2046,537,2046,2046,468,288,2046,1949,322,
17.31.13.049,13,0,0,1824,2046,1540,335,2046,2046,2046,322,1991,2046,2046,216,665,2046,2046,2046,539,2046,2046,466,288,2046,1949,320,
17.31.13.149,14,0,0,1826,2046,1540,336,2046,2046,2046,323,1995,2046,2046,216,666,2046,2046,2046,538,2046,2046,466,287,2046,1950,320,
17.31.13.249,15,0,0,1826,2046,1545,337,2046,2046,2046,323,1995,2046,2046,216,666,2046,2046,2046,537,2046,2046,465,287,2046,1948,320,
17.31.13.349,16,0,0,1827,2046,1545,337,2046,2046,2046,323,1997,2046,2046,216,666,2046,2046,2046,538,2046,2046,466,287,2046,1950,321,
17.31.13.449,17,0,0,1826,2046,1544,336,2046,2046,2046,323,1998,2046,2046,216,665,2046,2046,2046,536,2046,2046,467,289,2046,1950,321,
17.31.13.549,18,0,0,1826,2046,1544,336,2046,2046,2046,322,1995,2046,2046,215,664,2046,2046,2046,538,2046,2046,466,288,2046,1949,321,
17.31.13.649,19,0,0,1826,2046,1546,335,2046,2046,2046,322,1995,2046,2046,215,664,2046,2046,2046,538,2046,2046,467,289,2046,1950,321,
17.31.13.749,20,0,0,1825,2046,1545,336,2046,2046,2046,323,1992,2046,2046,216,666,2046,2046,2046,539,2046,2046,467,289,2046,1950,320,
17.31.13.850,21,0,0,1827,2046,1544,336,2046,2046,2046,322,1992,2046,2046,216,665,2046,2046,2046,539,2046,2046,467,288,2046,1948,320,
17.31.13.950,22,0,0,1827,2046,1544,336,2046,2046,2046,322,1992,2046,2046,215,667,2046,2046,2046,538,2046,2046,467,288,2046,1946,320,
17.31.14.049,23,0,0,1828,2046,1548,335,2046,2046,2046,322,1989,2046,2046,216,666,2046,2046,2046,539,2046,2046,467,287,2046,1948,319,
17.31.14.149,24,0,0,1825,2046,1547,336,2046,2046,2046,321,1987,2046,2046,218,666,2046,2046,2046,536,2046,2046,467,288,2046,1947,319,
17.31.14.249,25,0,0,1827,2046,1547,336,2046,2046,2046,323,1986,2046,2046,217,666,2046,2046,2046,538,2046,2046,469,289,2046,1949,321,
17.31.14.349,26,0,0,1827,2046,1547,336,2046,2046,2046,322,1985,2046,2046,216,666,2046,2046,2046,539,2046,2046,468,288,2046,1948,319,
17.31.14.449,27,0,0,1826,2046,1544,334,2046,2046,2046,321,1987,2046,2046,216,667,2046,2046,2046,538,2046,2046,467,288,2046,1947,319,
17.31.14.548,28,0,0,1826,2046,1543,335,2046,2046,2046,321,1988,2046,2046,218,667,2046,2046,2046,538,2046,2046,467,288,2046,1948,318,
17.31.14.648,29,0,0,1826,2046,1544,336,2046,2046,2046,323,1991,2046,2046,218,665,2046,2046,2046,537,2046,2046,466,287,2046,1948,319,
17.31.14.749,30,0,0,1826,2046,1545,336,2046,2046,2046,323,1986,2046,2046,217,665,2046,2046,2046,537,2046,2046,467,288,2046,1947,319,
17.31.14.850,31,0,0,1826,2046,1546,336,2046,2046,2046,323,1985,2046,2046,218,665,2046,2046,2046,536,2046,2046,466,287,2046,1947,320,
17.31.14.949,32,0,0,1828,2046,1552,336,2046,2046,2046,325,1985,2046,2046,218,665,2046,2046,2046,536,2046,2046,466,287,2046,1947,320,
17.31.15.049,33,0,0,1827,2046,1553,338,2046,2046,2046,323,1979,2046,2046,216,666,2046,2046,2046,537,2046,2046,466,287,2046,1948,320,
17.31.15.149,34,0,0,1828,2046,1552,336,2046,2046,2046,322,1977,2046,2046,216,664,2046,2046,2046,535,2046,2046,468,288,2046,1950,320,
17.31.15.249,35,0,0,1825,2046,1553,336,2046,2046,2046,322,1974,2046,2046,216,664,2046,2046,2046,537,2046,2046,468,288,2046,1949,321,
17.31.15.349,36,0,0,1827,2046,1555,336,2046,2046,2046,323,1976,2046,2046,216,665,2046,2046,2046,537,2046,2046,467,287,2046,1948,320,
17.31.15.448,37,0,0,1827,2046,1557,336,2046,2046,2046,325,1976,2046,2046,217,666,2046,2046,2046,537,2046,2046,468,286,2046,1948,319,
17.31.15.548,38,0,0,1829,2046,1558,338,2046,2046,2046,324,1981,2046,2046,215,666,2046,2046,2046,537,2046,2046,468,287,2046,1948,320,
17.31.15.648,39,0,0,1830,2046,1557,338,2046,2046,2046,323,1982,2046,2046,215,664,2046,2046,2046,536,2046,2046,466,285,2046,1949,320,
17.31.15.748,40,0,0,1828,2046,1557,336,2046,2046,2046,323,1981,2046,2046,216,665,2046,2046,2046,537,2046,2046,467,287,2046,1950,321,
17.31.15.848,41,0,0,1828,2046,1558,336,2046,2046,2046,322,1985,2046,2046,216,665,2046,2046,2046,537,2046,2046,468,288,2046,1949,321,
17.31.15.948,42,0,0,1828,2046,1555,336,2046,2046,2046,322,1987,2046,2046,215,666,2046,2046,2046,537,2046,2046,467,288,2046,1949,321,
17.31.16.049,43,0,0,1828,2046,1558,336,2046,2046,2046,323,1988,2046,2046,216,667,2046,2046,2046,537,2046,2046,468,287,2046,1950,320,
17.31.16.149,44,0,0,1828,2046,1561,336,2046,2046,2046,323,1984,2046,2046,216,667,2046,2046,2046,538,2046,2046,470,289,2046,1949,320,
